blocking_key,block_size,sample_names
GREAT,13,"GREAT LAKES CHEMICAL CORP, GREAT LAKES CHEMICAL GLOBAL INC, GREAT NORTHERN NEKOOSA CORP"
POWER,13,"POWER GUARD INC, POWER DEVICE CORP, POWER PACKER NORTH AMERICA INC"
ZENITH,13,"ZENITH ELECTRONICS CORPORATIONA CORP OF DELAWARE, ZENITH ELECTRONICS CORP, ZENITH ELECTRONICS CORP A DE CORP"
SUN,13,"SUN EDISON LLC, SUN EDISON LLC, SUN HYDRAULICS LLC"
ENCORE,13,"ENCORE MEDICAL ASSET CORP, ENCORE MEDICAL LP, ENCORE MEDICAL CORP"
WARNER,13,"WARNER ELECTRIC LLC, WARNER ELECTRIC TECHNOLOGY LLC, WARNER ELECTRIC INTERNATIONAL HOLDING INC"
ALLIANCE,13,"ALLIANCE PHARMACEUTICAL CORP, ALLIANCE LAUNDRY SYSTEMS LLC, ALLIANCE GAMING CORP"
SMITH,13,"SMITH & WESSON CORP, SMITH CORONA CORP, SMITH MARK A"
MASSEY,13,"MASSEY FERGUSON UK LTD A UK CORP, MASSEY FERGUSONACQUISITION CORP A DE CORP, MASSEY FERGUSON GROUP LTD A UK CORP"
ENVIRONMENTAL,13,"ENVIRONMENTAL ENERGY CO, ENVIRONMENTAL SYSTEMS CORP, ENVIRONMENTAL ANALYTICAL SYSTEMS INC"
S,13,"S & E FINANCE CO INC, S & W SEED CO, S & N PUMP CO"
HUBER,13,"HUBER ENGINEERED WOODS LLC, HUBER CST CO, HUBER CST CORP"
VISUAL,13,"VISUAL NETWORKS OPERATIONS INC, VISUAL NETWORKS TECHNOLOGIES INC, VISUAL NETWORKS INC"
L,13,"L & S STONE LLC, L & S STONE LLC, L KELLENBERGER & CO AG"
ELK,13,"ELK COMPOSITE BUILDING PRODUCTS INC, ELK CORP OF ALABAMA, ELK CORP OF AMERICA"
NOBLE,13,"NOBLE SYSTEMS CORP, NOBLE ADVANCED TECHNOLOGIES INC, NOBLE COMPONENTS & SYSTEMS INC"
ICF,13,"ICF INFORMATION TECHNOLOGY INC, ICF KAISER ENGINEERS INC, ICF CONSULTING ASSOCIATES INC"
PERMAFIX,13,"PERMA-FIX ENVIRONMENTAL SERVICES INC, PERMA-FIX ENVIRONMENTAL SERVICES INC AS GRANTOR, PERMA-FIX ENVIRONMENTAL SERVICES A DELAWARE CORP"
WEATHERFORD,12,"WEATHERFORD U K LTD, WEATHERFORD CANADA LTD, WEATHERFORD NETHERLANDS BV"
VISTEON,12,"VISTEON GLOBAL TECHNOLOGIES INC, VISTEON CORP, VISTEON ELECTRONICS CORP"
POLAROID,12,"POLAROID CORP, POLAROID ASIA PACIFIC LLC, POLAROID CAPITAL LLC"
INVACARE,12,"INVACARE CORP, INVACARE CREDIT CORP, INVACARE HOLDINGS LLC"
HARMAN,12,"HARMAN BECKER AUTOMOTIVE SYSTEMS GMBH, HARMAN INTERNATIONAL INDUSTRIES INC, HARMAN BECKER AUTOMOTIVE SYSTEMS MICHIGAN INC"
DATA,12,"DATA DEVICE CORP, DATA DIVESTCO INC, DATA RACE INC"
CC,12,"CC FIBERLINK LLC, CC MICHIGAN LLC, CC SYSTEMS LLC"
TWC,12,"TWC ADMINISTRATION LLC, TWC COMMUNICATIONS LLC, TWC DIGITAL PHONE LLC"
