component_id,entity_id,standard_name,normalized_name,original_name,frequency,avg_similarity,min_similarity,issues,decision,notes
396,non_financial_396,GEORGIA-PACIFIC ASIA INC,GEORGIA-PACIFIC WEST INC,"GEORGIA-PACIFIC WEST, INC.",503,88.0,88.0,['Similitud promedio baja: 88.0%'],,
412,non_financial_412,CEF INDUSTRIES LLC,CEF INDUSTRIES LLC F K A CEF INDUSTRIES INC,"CEF INDUSTRIES, LLC (F/K/A CEF INDUSTRIES, INC.)",119,89.62962962962963,88.88888888888889,['Similitud promedio baja: 89.6%'],,
412,non_financial_412,CEF INDUSTRIES LLC,CEF INDUSTRIES INC,"CEF INDUSTRIES, INC.",220,89.62962962962963,88.88888888888889,['Similitud promedio baja: 89.6%'],,
412,non_financial_412,CEF INDUSTRIES LLC,CEF INDUSTRIES LLC,"CEF INDUSTRIES, LLC",469,89.62962962962963,88.88888888888889,['Similitud promedio baja: 89.6%'],,
414,non_financial_414,BRIGGS & STRATTON CORP,BRIGGS & STRATTON LLC,"BRIGGS & STRATTON, LLC",446,88.37209302325581,88.37209302325581,['Similitud promedio baja: 88.4%'],,
414,non_financial_414,BRIGGS & STRATTON CORP,BRIGGS & STRATTON CORP,BRIGGS & STRATTON CORPORATION,464,88.37209302325581,88.37209302325581,['Similitud promedio baja: 88.4%'],,
432,non_financial_432,VONAGE NETWORK LLC,VONAGE NETWORK LLC,VONAGE NETWORK LLC,431,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
432,non_financial_432,VONAGE NETWORK LLC,VONAGE NETWORK INC,VONAGE NETWORK INC.,18,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
449,non_financial_449,NETLOGIC MICROSYSTEMS INC,NETLOGIC MICROSYSTEMS INTERNATIONAL LTD,NETLOGIC MICROSYSTEMS INTERNATIONAL LIMITED,348,88.16326530612244,88.16326530612244,['Similitud promedio baja: 88.2%'],,
449,non_financial_449,NETLOGIC MICROSYSTEMS INC,NETLOGIC MICROSYSTEMS INC,"NETLOGIC MICROSYSTEMS, INC.",419,88.16326530612244,88.16326530612244,['Similitud promedio baja: 88.2%'],,
451,non_financial_451,GERBER COBURN OPTICAL INC A CONNECTICUT CORP,GERBER COBURN OPTICAL INC A CONNECTICUT CORP,"GERBER COBURN OPTICAL, INC., A CONNECTICUT CORPORATION.",128,89.08163265306122,88.16326530612244,['Similitud promedio baja: 89.1%'],,
451,non_financial_451,GERBER COBURN OPTICAL INC A CONNECTICUT CORP,GERBER COBURN OPTICAL INTERNATIONAL INC,"GERBER COBURN OPTICAL INTERNATIONAL, INC.",127,89.08163265306122,88.16326530612244,['Similitud promedio baja: 89.1%'],,
451,non_financial_451,GERBER COBURN OPTICAL INC A CONNECTICUT CORP,GERBER COBURN OPTICAL INC,"GERBER COBURN OPTICAL, INC.",127,89.08163265306122,88.16326530612244,['Similitud promedio baja: 89.1%'],,
467,non_financial_467,WILMINGTON TRUST CO,WILMINGTON TRUST CO,WILMINGTON TRUST COMPANY,19,89.73684210526315,89.47368421052632,['Similitud promedio baja: 89.7%'],,
467,non_financial_467,WILMINGTON TRUST CO,WILMINGTON TRUST NA,"WILMINGTON TRUST, NATIONAL ASSOCIATION",16,89.73684210526315,89.47368421052632,['Similitud promedio baja: 89.7%'],,
467,non_financial_467,WILMINGTON TRUST CO,WILMINGTON TRUST NA AS THE PRIOR COLLATERAL AGENT,"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS THE PRIOR COLLATERAL AGENT",3,89.73684210526315,89.47368421052632,['Similitud promedio baja: 89.7%'],,
469,non_financial_469,WESTINGHOUSE ELECTRIC CO LLC,WESTINGHOUSE ELECTRIC CO LLC,WESTINGHOUSE ELECTRIC COMPANY LLC,6,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
469,non_financial_469,WESTINGHOUSE ELECTRIC CO LLC,WESTINGHOUSE ELECTRIC CORP,WESTINGHOUSE ELECTRIC CORPORATION,1,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
481,non_financial_481,ARROW INTERNATIONAL INC,ARROW INTERNATIONAL INC,"ARROW INTERNATIONAL, INC.",98,88.0,88.0,['Similitud promedio baja: 88.0%'],,
481,non_financial_481,ARROW INTERNATIONAL INC,ARROW INTERNATIONAL INVESTMENT CORP,ARROW INTERNATIONAL INVESTMENT CORP.,21,88.0,88.0,['Similitud promedio baja: 88.0%'],,
496,non_financial_496,ENCORE MEDICAL GP INC,ENCORE MEDICAL GP INC,"ENCORE MEDICAL GP, INC",43,88.37209302325581,88.37209302325581,['Similitud promedio baja: 88.4%'],,
