ee_name,freq,entity_id,standard_name
"SIXTH STREET LENDING PARTNERS, AS ADMINISTRATIVE AGENT",1689,financial_959,SIXTH STREET LENDING PARTNERS
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",1685,financial_309,CREDIT SUISSE
"BANK OF NOVA SCOTIA, THE",1679,financial_110,BANK OF NOVA SCOTIA
"MIDCAP FINANCIAL TRUST, AS AGENT",1614,financial_715,MIDCAP FINANCIAL
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS AGENT",1612,financial_1103,WELLS FARGO BANK NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",1588,financial_102,BANK OF NEW YORK MELLON
"MUFG UNION BANK, N.A.",1553,financial_739,MUFG UNION BANK NA
BANK OF AMERICA N.A.,1551,financial_43,BANK OF AMERICA NA
"BANK OFAMERICA, N.A., AS COLLATERAL AGENT",1530,financial_1997,BANK OFAMERICA NA
"CHASE MANHATTAN BANK, THE",1492,financial_231,CHASE MANHATTAN BANK
"FIRST UNION NATIONAL BANK, AS ADMINISTRATIVE AGENT",1489,financial_437,FIRST UNION NATIONAL BANK
"BANK OF NEW YORK MELLON TRUST, NA, AS NOTES COLLATERAL AGENT, THE",1477,financial_102,BANK OF NEW YORK MELLON
"OMEGA CREDIT OPPORTUNITIES MASTER FUND, LP",1410,financial_5267,OMEGA CREDIT OPPORTUNITIES MASTER FUND LP
"ALTER DOMUS (US) LLC, AS COLLATERAL AGENT",1402,financial_38,ALTER DOMUS US LLC
BANK OF MONTREAL,1390,financial_109,BANK OF MONTREAL
"WELLS FARGO BANK, N.A.",1376,financial_1103,WELLS FARGO BANK NA
"WILMINGTON TRUST FSB, AS ADMINISTRATIVE AGENT",1374,financial_1111,WILMINGTON NA
"MORGAN STANLEY & CO. INCORPORATED, AS FACILITY COLLATERAL AGENT",1362,financial_731,MORGAN STANLEY SENIOR FUNDING
"THE BANK OF NEW YORK, MELLON TRUST COMPANY, N.A.",1352,financial_102,BANK OF NEW YORK MELLON
"CHINA CITIC BANK CORPORATION LIMITED, GUANGZHOU BRANCH, AS COLLATERAL AGENT",1349,financial_2821,CHINA CITIC BANK CORP LTD GUANGZHOU BRANCH
"WILMINGTON TRUST FSB, AS COLLATERAL AGENT",1327,financial_1111,WILMINGTON NA
"BANK OF NOVA SCOTIA, THE, AS COLLATERAL AGENT",1320,financial_110,BANK OF NOVA SCOTIA
"MORGAN STANLEY SENIOR FUNDING, INC. AS ADMINISTRATIVE AGENT",1314,financial_731,MORGAN STANLEY SENIOR FUNDING
"GENERAL ELECTRIC CAPITAL CORPORATION, AS COLLATERAL AGENT",1304,financial_482,GENERAL ELECTRIC CAPITAL CORP
U.S. BANK TRUSTEES LIMITED,1281,financial_3,US BANK NA
"EUAGORE, LLC",1275,financial_3712,EUAGORE LLC
"FIRST NATIONAL BANK OF CHICAGO, THE",1262,financial_431,FIRST NATIONAL BANK OF CHICAGO
"OT WSOU TERRIER HOLDINGS, LLC",1254,financial_5319,OT WSOU TERRIER HOLDINGS LLC
JP MORGAN CHASE BANK,1236,financial_605,JP MORGAN CHASE BANK NA
BANK OF AMERICA,1231,financial_43,BANK OF AMERICA NA
"WELLS FARGO FOOTHILL, LLC, AS AGENT",1222,financial_1103,WELLS FARGO BANK NA
"INTERNATIONAL GAME TECHNOLOGY, AS AGENT",1214,financial_583,INTERNATIONAL GAME TECHNOLOGY
"PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORPORATION, AS ADMINISTRATIVE AGENT",1214,financial_5700,PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORP
"BANK OF MONTREAL, AS COLLATERAL AGENT",1210,financial_109,BANK OF MONTREAL
"CORTLAND CAPITAL MARKET SERVICES, LLC",1207,financial_298,CORTLAND CAPITAL MARKET SERVICES LLC
MIDCAP FINANCIAL TRUST,1181,financial_715,MIDCAP FINANCIAL
"KEYBANK NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1178,financial_613,KEYBANK NA
"BANKERS TRUST COMPANY, AS ADMINISTRATIVE AGENT",1174,financial_120,BANKERS
NOKIA USA INC.,1168,financial_5187,NOKIA USA INC
"WACHOVIA BANK, NATIONAL ASSOCIATION",1166,financial_1091,WACHOVIA BANK NA
"THE BANK OF NEW YORK TRUST COMPANY, N.A.",1155,financial_102,BANK OF NEW YORK MELLON
"GENERAL ELECTRIC CAPITAL CANADA, INC.",1122,financial_482,GENERAL ELECTRIC CAPITAL CORP
"WELLS FARGO CAPITAL FINANCE, LLC, AS ADMINISTRATIVE AGENT",1105,financial_1103,WELLS FARGO BANK NA
"UBS AG, STAMFORD BRANCH",1097,financial_1062,UBS STAMFORD
"JPMORGAN CHASE BANK, N.A., AS GENERAL ADMINISTRATIVE AGENT",1084,financial_605,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N.A.,AS COLLATERAL AGENT",1080,financial_43,BANK OF AMERICA NA
"BELL NORTHERN RESEARCH, LLC",1064,financial_2198,BELL NORTHERN RESEARCH LLC
"BELL SEMICONDUCTOR, LLC",1064,financial_2199,BELL SEMICONDUCTOR LLC
"HILCO PATENT ACQUISITION 56, LLC",1064,financial_4210,HILCO PATENT ACQUISITION 56 LLC
"DBD CREDIT FUNDING LLC, AS COLLATERAL AGENT",1061,financial_334,DBD CREDIT FUNDING LLC
"WELLS FARGO FOOTHILL, LLC",1061,financial_1103,WELLS FARGO BANK NA
"ABLECO FINANCE LLC, AS COLLATERAL AGENT",1052,financial_5,ABLECO FINANCE LLC
"GOLDMAN SACHS CREDIT PARTNERS L.P., AS COLLATERAL AGENT",1050,financial_501,GOLDMAN SACHS BANK USA
"WELLS FARGO FOOTHILL, LLC AS AGENT",1044,financial_1103,WELLS FARGO BANK NA
"JP MORGAN CHASE BANK, N.A.",1042,financial_605,JP MORGAN CHASE BANK NA
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",1030,financial_3,US BANK NA
AVAYA LLC,1028,financial_1728,AVAYA LLC
"SILICON VALLEY BANK, AGENT",1015,financial_950,SILICON VALLEY BANK
