or_name,freq
MEDICIS PHARMACEUTICAL CORPORATION,1067
LEACH INTERNATIONAL CORPORATION,1060
RPX CORPORATION,1058
"STARSIGHT TELECAST, INC.",1050
"UNITED VIDEO PROPERTIES, INC.",1050
KORRY ELECTRONICS CO.,1046
ZEBRA TECHNOLOGIES CORPORATION,1046
"BELL SPORTS, INC.",1041
"APTIV DIGITAL, INC.",1039
GEMSTAR DEVELOPMENT CORPORATION,1039
TEXSCAN CORPORATION,1037
"ARRIS ENTERPRISES, INC.",1032
"ARRIS GROUP, INC.",1032
GIC INTERNATIONAL CAPITAL LLC,1032
GIC INTERNATIONAL HOLDCO LLC,1032
"JERROLD DC RADIO, INC.",1032
"NEXTLEVEL SYSTEMS (PUERTO RICO), INC.",1032
"POWER GUARD, INC.",1032
"SILICON IMAGE, INC.",1025
TRW VEHICLE SAFETY SYSTEMS INC.,1024
ASHLAND LICENSING AND INTELLECTUAL PROPERTY LLC,1021
"MARATHONNORCO AEROSPACE, INC.",1020
"PALOMAR PRODUCTS, INC.",1016
"VISTEON EUROPEAN HOLDINGS, INC.",1013
"LIFESCAN IP HOLDINGS, LLC",1012
"VISTEON EUROPEAN HOLDING, INC.",1012
"DVDO, INC.",1011
HARTWELL CORPORATION,1008
"SOLTA MEDICAL, INC.",1008
"NMC GROUP, INC.",1004
AOL ADVERTISING INC.,1001
AOL INC.,1001
"MAPQUEST, INC.",1001
"SONOS, INC.",1000
ALLEN TELECOM LLC,998
"ASPECT SOFTWARE, INC.",997
"PCS FERGUSON, INC.",995
US SYNTHETIC CORPORATION,995
"QUARTZDYNE, INC.",992
"WINDROCK, INC.",992
"ENTROPIC COMMUNICATIONS, LLC (F/K/A ENTROPIC COMMUNICATIONS, INC.)",986
"WHIPPANY ACTUATION SYSTEMS, LLC",984
D2AUDIO CORPORATION,981
"ELANTEC SEMICONDUCTOR, INC.",981
INTERSIL AMERICAS INC.,981
"INTERSIL COMMUNICATIONS, INC.",981
"KENET, INC.",981
"PLANET ATE, INC.",981
"QUELLAN, INC.",981
"TECHWELL, INC.",981
"ZILKER LABS, INC.",981
APERGY BMCS ACQUISITION CORP.,977
"PEXCO AEROSPACE, INC.",977
NETIQ CORPORATION,976
SCHNELLER LLC,975
TA AEROSPACE CO.,970
"SALIX PHARMACEUTICALS, LTD.",969
"FREEDOM DESIGNS, INC.",966
"ITRON, INC.",965
ATTACHMATE CORPORATION,961
"SALIX PHARMACEUTICALS, INC.",961
LYONDELL CHEMICAL COMPANY,959
"PETTERS CONSUMER BRANDS INTERNATIONAL, LLC",959
"PETTERS CONSUMER BRANDS, LLC",959
POLAROID ASIA PACIFIC LLC,959
POLAROID CAPITAL LLC,959
POLAROID INTERNATIONAL HOLDING LLC,959
POLAROID INVESTMENT LLC,959
POLAROID LATIN AMERICA I CORPORATION,959
POLAROID NEW BEDFORD REAL ESTATE LLC,959
POLAROID NORWOOD REAL ESTATE LLC,959
POLAROID WALTHAM REAL ESTATE LLC,959
ZINK INCORPORATED,959
"SANTARUS, INC.",956
"MINDSPEED TECHNOLOGIES, INC.",955
"STP CORPORATION, A CORP. OF DE.,",955
"UNION CARBIDE AGRICULTURAL PRODUCTS CO., INC., A CORP. OF PA.,",955
"UNION CARBIDE CORPORATION, A CORP.,",955
"UNION CARBIDE EUROPE S.A., A SWISS CORP.",955
ARCO CHEMICAL TECHNOLOGY L.P.,953
"ARCO CHEMICAL TECHNOLOGY, INC.",953
ATLANTIC RICHFIELD COMPANY,953
"BASELL NORTH AMERICA, INC.",953
BASELL POLYOLEFIN GMBH,953
BASELL POLYOLEFINE GMBH,953
ZYNGA INC.,949
"BEE STINGER, LLC",946
"HARBISON-FISCHER, INC.",941
LETICA CORPORATION,941
"MONEY NETWORK FINANCIAL, LLC",939
C PREME LIMITED LLC,938
"LOGAN OUTDOOR PRODUCTS, LLC",938
"NORRISEAL-WELLMARK, INC.",938
ATK COMMERCIAL AMMUNITION COMPANY INC.,935
BORLAND SOFTWARE CORPORATION,934
HUNTSMAN PETROCHEMICAL CORPORATION,934
"MICRO FOCUS (US), INC.",934
AMMUNITION ACCESSORIES INC.,933
"CMC MATERIALS, INC.",932
PRIME LABEL AND SCREEN INCORPORATED,930
"WANG LABORATORIES, INC.",930
"CONEXANT SYSTEMS WORLDWIDE, INC.",929
"TACTAIR FLUID CONTROLS, INC.",929
YOUNG & FRANKLIN INC.,929
"INTERNATIONAL TEST SOLUTIONS, LLC",926
"ORAPHARMA, INC.",926
"PRECISION DERMATOLOGY, INC.",925
NOXELL CORPORATION,921
"SPIRIT GLOBAL ENERGY SOLUTIONS, INC.",920
"KCI LICENSING, INC.",916
"JPMORGAN CHASE BANK, N.A., A NATIONAL BANKING ASSOCIATION",915
DIEBOLD SELF SERVICE SYSTEMS,913
"SIBEAM, INC.",910
"GUARDIAN ASSETS, INC.",897
BROOKTREE CORPORATION,896
"LEGERITY, INC.",894
HARMAN BECKER AUTOMOTIVE SYSTEMS GMBH,892
"ANODYNE MEDICAL DEVICE, INC.",886
CERENCE OPERATING COMPANY,883
"HILL-ROM HOLDINGS, INC.",883
"HILL-ROM, INC.",883
"VOALTE, INC.",883
BLUE COAT LLC,880
"LIFELOCK, INC,",880
SYMANTEC CORPORATION,880
SYMANTEC OPERATING CORPORATION,880
"ADVANCED MEDICAL OPTICS, INC.",877
NORTONLIFELOCK INC.,877
VISKASE CORPORATION,873
"NOVELL, INC.",872
"BROOKS AUTOMATION, INC.",870
"HARMAN INTERNATIONAL INDUSTRIES, INCORPORATED",867
"SHIELD RESTRAINT SYSTEMS, INC.",865
DATA DEVICE CORPORATION,864
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. AS COLLATERAL AGENT",862
"ENERGIZER BRANDS, LLC",861
"NUVASIVE CLINICAL SERVICES MONITORING, INC.",860
"NUVASIVE CLINICAL SERVICES, INC.",860
"NUVASIVE SPECIALIZED ORTHOPEDICS, INC.",860
FERRO CORPORATION,859
"REDWOOD SYSTEMS, INC.",854
"THE CHEMOURS COMPANY TT, LLC",854
"EXTREME NETWORKS, INC.",851
"AMSAFE, INC.",850
"DIEBOLD, INCORPORATED",849
"DROPBOX, INC.",847
"PHASE MATRIX, INC.",847
"AEROCONTROLEX GROUP, INC.",846
"BLADELOGIC, INC.",840
"BMC SOFTWARE, INC.",840
"ADAMS RITE AEROSPACE, INC.",839
"VISHAY INTERTECHNOLOGY, INC.",833
CROMPTON COLORS INCORPORATED,830
"GLCC LAUREL, LLC",830
"ALLEN TELECOM, LLC",829
ANDREW CORPORATION,829
THE CHEMOURS COMPANY FC LLC,827
CONVERSANT INTELLECTUAL PROPERTY MANAGEMENT INC.,826
"FUNDSXPRESS FINANCIAL NETWORKS, INC.",825
"COMMSCOPE, INC OF NORTH CAROLINA, A NORTH CAROLINA CORPORATION",824
GENERAL MOTORS COMPANY,824
"AMERICAN AXLE & MANUFACTURING, INC.",823
"COMMSCOPE, INC. OF NORTH CAROLINA, A NORTH CAROLINA CORPORATION",823
VERTIV CORPORATION,816
"VERTIV IT SYSTEMS, INC.",816
"AVTECHTYEE, INC.",812
"AFFYMETRIX, INC.",811
"FIRSTPOINT CONTACT TECHNOLOGIES, LLC",811
"DUKES AEROSPACE, INC.",808
"ELECTRONICS FOR IMAGING, INC.",807
